ACCROP,  Total acres cropland 
UNUNKTOT,  Total unemployed residence unknown
URB25,  Population cities 25K+
URBPOP,  Urban population 
URBFARM,  Urban-farm population
V10000_,  Owned nonfarm homes value more than $10,000 
V1530,  Owned nonfarm homes value $1500-$2999 
V3050,  Owned nonfarm homes value $3000-$4999 
V5075,  Owned nonfarm homes value $5000-$7499 
V75100,  Owned nonfarm homes value $7500-$9999 
VEGAVAL,  Value of vegatables 
VLT1500,  Owned nonfarm homes value less than $1500 
VNOTREP,  Owned nonfarm homes value not reported 
VRNF100_,  Owned rural nonfarm homes value more than $10,000 
VRNF1530,  Owned rural nonfarm homes value $1500-$2999 
VRNF3050,  Owned rural nonfarm homes value $3000-$4999 
VRNF5075,  Owned rural nonfarm homes value $5000-$7499 
VRNF7510,  Owned rural nonfarm homes value $7500-$9999 
VRNFLT15,  Owned rural nonfarm homes value less than $1500 
VRNFNREP,  Owned rural nonfarm homes value not reported 
WF0,  White females aged 0 
WF0_4,  White females aged 0-4 
WF1014,  White females aged 10-14 
WF1519,  White females aged 15-19 
WF2024,  White females aged 20-24 
WF21_,  White females aged 21+ 
WF2529,  White females aged 25-29 
WF3034,  White females aged 30-34 
WF3544,  White females aged 35-44 
WF4554,  White females aged 45-54 
WF5564,  White females aged 55-64 
WF5_9,  White females aged 5-9 
WF6574,  White females aged 65-74 
WF75_,  White females aged 75+ 
WFTOT,  Total white females 
WFUNK,  White females unknown ages 
WHOLEST,  # wholesale establishments 
WHOLFEMP,  Female employees wholesale establishments 
WHOLMEMP,  Male employees wholesale establishments 
WHOLNSAL,  Net sales wholesale establishments 
WHOLSTOC,  Wholesale stocks/end of year 
WHOLTEMP,  Total employees wholesale establishments 
WHOLWAGE,  Salaries/wages wholesale establishments 
WHTOT,  Total white population 
WM0,  White males aged 0 
WM0_4,  White males aged 0-4 
WM1014,  White males aged 10-14 
WM1519,  White males aged 15-19 
WM2024,  White males aged 20-24 
WM21_,  White males aged 21+ 
WM2529,  White males aged 25-29 
WM3034,  White males aged 30-34 
WM3544,  White males aged 35-44 
WM4554,  White males aged 45-54 
WM5564,  White males aged 55-64 
WM5_9,  White males aged 5-9 
WM6574,  White males aged 65-74 
WM75_,  White males aged 75+ 
WMTOT,  Total white males 
WMUNK,  White males unknown ages
